epoch,set,loss,acc
1,train,2.496296379035843,0.19268894932722588
1,valid,5.820610756874085,0.1471875
2,train,2.3320052016951993,0.23011200973375323
2,valid,256107.68049425847,0.22125
3,train,2.185163081289532,0.2533728170626968
3,valid,26.737914201021194,0.1209375
4,train,2.1148504405795694,0.2774835385055826
4,valid,36.29657695114613,0.150625
5,train,2.0784654170573353,0.28187625250501
5,valid,6.644606368541718,0.1259375
6,train,2.052723958640395,0.28589321500143144
6,valid,1443.2641698640584,0.1584375
7,train,1.9794191289282514,0.3034193386773547
7,valid,1104.80274240613,0.2046875
8,train,1.9037288721195442,0.32160750071571714
8,valid,8167.303165109158,0.16125
9,train,1.8903131434817113,0.32583917835671344
9,valid,11.472790089845658,0.144375
10,train,1.9076408171701527,0.31673167764099625
10,valid,1379.050733385086,0.165625
11,train,1.8670247750196285,0.327923704551961
11,valid,4.690653964579106,0.1396875
12,train,1.8564630892568217,0.3341414972802748
12,valid,3.013807028532028,0.1540625
13,train,1.8482506437626536,0.3330768680217578
13,valid,12.31897522687912,0.1015625
14,train,1.8337815483968578,0.335304537646722
14,valid,22.74868674039841,0.1353125
15,train,1.807731796839911,0.34919839679358716
15,valid,31.172460068166256,0.165
16,train,1.8635974154921475,0.33758588605782996
16,valid,271.00493180036545,0.1046875
17,train,1.8577194204311334,0.33310370741482964
17,valid,223.43478886008262,0.155
18,train,1.8410533518494967,0.33388204981391356
18,valid,5.233869351148606,0.089375
19,train,1.8504605510669625,0.33749642141425706
19,valid,9.726534371674061,0.169375
20,train,1.8203029152386652,0.3515334239908388
20,valid,3873.029956228733,0.110625
21,train,1.8201206368291545,0.34942205840251933
21,valid,23030.60715856433,0.1571875
22,train,1.87176103391246,0.3347319639278557
22,valid,2.844067211151123,0.1965625
23,train,1.8319520881037434,0.3461029201259662
23,valid,1595.1333627817035,0.1365625
24,train,1.8015744862910024,0.3556845834526195
24,valid,2.563471169471741,0.123125
25,train,1.793830967857269,0.35672237331806467
25,valid,30538.80747756932,0.121875
26,train,1.8080915262799464,0.34886737761236764
26,valid,3.5921667182445525,0.205625
27,train,1.7737821108831433,0.36123139135413684
27,valid,3.387182568311691,0.259375
28,train,1.7978040429059872,0.3530185370741483
28,valid,12774.858974113464,0.2021875
29,train,1.8063860871271045,0.3519986401374177
29,valid,8471.322264162302,0.181875
30,train,1.8033578546348221,0.35167656742055536
30,valid,2.6514327442646026,0.1378125
31,train,1.7722584773638923,0.3639511165187518
31,valid,1266.464424585104,0.12375
32,train,1.7630549349144609,0.3636916690523905
32,valid,6.8123328602313995,0.183125
33,train,1.7857389923088058,0.3590037217291726
33,valid,12398.650818697959,0.11
34,train,1.8409185493159628,0.34620133123389635
34,valid,51.45964761137962,0.139375
35,train,1.8270503963401656,0.3475522473518466
35,valid,2541.9491716325283,0.2065625
36,train,1.8402226229230005,0.34857214428857713
36,valid,6995.268391249291,0.1165625
37,train,1.7948220547788845,0.3573844116805039
37,valid,107.89519110701978,0.099375
38,train,1.7669422803278676,0.36730604065273403
38,valid,11.830507736206055,0.2190625
39,train,1.8061042880725287,0.352070211852276
39,valid,28440.99039241247,0.1096875
