epoch,set,loss,acc
1,train,1.760225429058075,0.3167321428571429
1,valid,1.3211968696117402,0.40729166666666666
2,train,1.455561231136322,0.39505357142857145
2,valid,1.2480342721939086,0.43583333333333335
3,train,1.3982606637477875,0.42232142857142857
3,valid,1.3042255240678786,0.38395833333333335
4,train,1.3428869907855987,0.4427857142857143
4,valid,1.124277470111847,0.484375
5,train,1.2495022287368776,0.4611071428571429
5,valid,1.0591965544223785,0.515
6,train,1.192844008207321,0.4747142857142857
6,valid,1.0477273774147033,0.515625
7,train,1.1708438575267792,0.4791428571428571
7,valid,1.0308710467815398,0.5152083333333334
8,train,1.112719173669815,0.49225
8,valid,0.9551330006122589,0.529375
9,train,1.0981634478569031,0.49705357142857143
9,valid,1.0082233244180678,0.5064583333333333
10,train,1.0367829372882844,0.52325
10,valid,0.9770861947536469,0.518125
11,train,1.0262910978794098,0.524375
11,valid,0.8939793217182159,0.5529166666666666
12,train,0.9934070293903351,0.5346785714285714
12,valid,3.6571943140029908,0.550625
13,train,0.9637392959594726,0.5397857142857142
13,valid,0.907751008272171,0.5164583333333334
14,train,0.933307021856308,0.5467142857142858
14,valid,0.9836024326086045,0.5379166666666666
15,train,0.9093903660774231,0.5591785714285714
15,valid,0.8281820851564408,0.5789583333333334
16,train,0.9342740951776505,0.5530357142857142
16,valid,0.855247597694397,0.55125
17,train,0.9008354742527008,0.5519642857142858
17,valid,31.97141531586647,0.5172916666666666
18,train,0.8567429720163345,0.5738571428571428
18,valid,14.484732440114021,0.5710416666666667
19,train,0.8428999757766724,0.5789107142857142
19,valid,0.826242641210556,0.5710416666666667
20,train,0.8096404571533203,0.5950357142857142
20,valid,158.77771659076214,0.5583333333333333
21,train,0.8035048880577087,0.5841607142857143
21,valid,0.75975261926651,0.5872916666666667
22,train,0.7941815310716629,0.5899642857142858
22,valid,4.309672178030014,0.5675
23,train,0.7624417901039123,0.5974464285714286
23,valid,1.6727638390660287,0.5739583333333333
24,train,0.7675456728935242,0.6010357142857142
24,valid,0.7310044077038765,0.6091666666666666
25,train,0.7392916296720504,0.6084821428571429
25,valid,554.7472375106812,0.6245833333333334
26,train,0.7664573851823807,0.5942142857142858
26,valid,989.7607012259961,0.6116666666666667
27,train,0.7194819250106812,0.6229285714285715
27,valid,0.6638950002193451,0.62875
28,train,0.6945668315887451,0.628125
28,valid,0.6889551892876625,0.626875
29,train,0.6626743056774139,0.6334642857142858
29,valid,157.7245415467024,0.609375
30,train,0.6537344219684601,0.641875
30,valid,0.6854779797792435,0.6266666666666666
