epoch,set,loss,acc
1,train,2.1965101294517515,0.34333928571428574
1,valid,1.705449299812317,0.41875
2,train,1.816773787021637,0.427125
2,valid,1.5694311714172364,0.44666666666666666
3,train,1.714369857788086,0.45466071428571425
3,valid,1.4529404759407043,0.4822916666666666
4,train,1.6101673803329468,0.47405357142857146
4,valid,1.499746198654175,0.47104166666666664
5,train,1.5944763832092286,0.48096428571428573
5,valid,1.37766148686409,0.5145833333333334
6,train,1.533343523979187,0.5041607142857143
6,valid,1.4091946077346802,0.5064583333333333
7,train,1.5047317020893096,0.5037857142857143
7,valid,1.3003658497333526,0.5366666666666666
8,train,1.4485648765563965,0.5154285714285715
8,valid,1.286554101705551,0.5529166666666666
9,train,1.4638422102928161,0.5098214285714285
9,valid,1.266943256855011,0.5479166666666666
10,train,1.386004408121109,0.5294821428571429
10,valid,1.2280028748512268,0.55125
11,train,1.3502741057872771,0.5425714285714286
11,valid,1.357356731891632,0.524375
12,train,1.3116403617858887,0.5522678571428571
12,valid,1.1425339841842652,0.564375
13,train,1.294481627702713,0.5532857142857143
13,valid,1.1465830981731415,0.570625
14,train,1.256986537694931,0.5630892857142857
14,valid,1.123768070936203,0.590625
15,train,1.2355929470062257,0.5745357142857143
15,valid,1.1219870853424072,0.5910416666666667
16,train,1.20209583902359,0.5929464285714285
16,valid,1.2088011014461517,0.5891666666666666
17,train,1.1898081624507904,0.5869285714285715
17,valid,1.1510131871700287,0.579375
18,train,1.1861086723804475,0.5878035714285714
18,valid,1.1471682071685791,0.5833333333333334
19,train,1.2002612383365632,0.5789464285714285
19,valid,1.2209848952293396,0.575
20,train,1.2013351702690125,0.5794107142857142
20,valid,1.1285161185264587,0.5941666666666666
21,train,1.1511136844158172,0.5906964285714286
21,valid,1.1846703064441682,0.580625
22,train,1.1274819447994233,0.59725
22,valid,32865.44566743851,0.5991666666666666
23,train,1.0988552839756012,0.6149464285714286
23,valid,11.61864835202694,0.5358333333333334
24,train,1.0955032444000243,0.6121607142857142
24,valid,1.27476576089859,0.57625
25,train,1.078279039144516,0.6149107142857142
25,valid,1.0097950887680054,0.638125
26,train,1.0636144149303437,0.6183571428571429
26,valid,1.0831515645980836,0.61
27,train,1.0656775679588317,0.6274107142857143
27,valid,1.0635074663162232,0.62
28,train,1.0504448175430299,0.6223214285714286
28,valid,1.0215459859371185,0.6320833333333333
29,train,1.0347947043180465,0.6293035714285714
29,valid,1.2924381923675536,0.5910416666666667
30,train,1.0120818245410919,0.63425
30,valid,1.06272691488266,0.62125
