epoch,set,loss,acc
1,train,2.581196242014567,0.35651666666666665
1,valid,2.21432689845562,0.39075
2,train,1.9501955997943878,0.42691666666666667
2,valid,1.5939947541554769,0.47241666666666665
3,train,1.864902469952901,0.44836666666666664
3,valid,1.8932947405179341,0.38666666666666666
4,train,1.6798362112045289,0.47981666666666667
4,valid,3.134983961880207,0.27775
5,train,1.7633666138648987,0.47645
5,valid,1.7223128155867258,0.42758333333333337
6,train,1.6916578815778096,0.4886833333333333
6,valid,1.672488001982371,0.4484166666666667
7,train,1.6728265317281088,0.49223333333333336
7,valid,1.5524364399909973,0.4939166666666667
8,train,1.6844974110921225,0.4941
8,valid,1.5675970226526261,0.5258333333333334
9,train,1.533759374141693,0.5151833333333333
9,valid,1.4342853530248005,0.5329166666666667
10,train,1.5620441425641378,0.51785
10,valid,1.844096563657125,0.4530833333333334
11,train,1.6614549717903138,0.5099666666666667
11,valid,1.6836216378211974,0.49916666666666665
12,train,1.521312607129415,0.5330166666666667
12,valid,2.361229885816574,0.37425
13,train,1.513629894733429,0.5359333333333334
13,valid,1.53733385403951,0.5060833333333333
14,train,1.52247447347641,0.5318166666666667
14,valid,1.7669174444178741,0.5126666666666667
15,train,1.4844763407707213,0.5428499999999999
15,valid,2.897916641632716,0.27358333333333335
16,train,1.516856813430786,0.5433833333333333
16,valid,1.6677720761299133,0.5284166666666666
17,train,1.569892137527466,0.5346500000000001
17,valid,1.6257932051022848,0.54425
18,train,1.4118948820432027,0.56055
18,valid,2.0144008846084276,0.4301666666666667
19,train,1.525782634894053,0.5481833333333334
19,valid,2.098742329676946,0.5085833333333333
20,train,1.440403027455012,0.5609333333333333
20,valid,1.4981307258208594,0.5603333333333333
21,train,1.4109774697621664,0.5618000000000001
21,valid,1.7991876876354218,0.5160833333333333
22,train,1.4503442045847574,0.56465
22,valid,1.7698075888554254,0.49475
23,train,1.3788129678169887,0.5746666666666667
23,valid,1.6670512779553732,0.4950833333333334
24,train,1.4496577342351278,0.5643166666666667
24,valid,2.0641763176520667,0.5020833333333333
25,train,1.3674951632817587,0.5798
25,valid,1.3280225626627604,0.55075
26,train,1.4175843936602275,0.5640166666666666
26,valid,1.7222684506575268,0.49008333333333337
27,train,1.3690004232724509,0.58115
27,valid,1.306395154396693,0.593
28,train,1.38263312180837,0.5819666666666667
28,valid,1.3828646266460418,0.57775
29,train,1.3093615763982136,0.5935166666666667
29,valid,1.551833816766739,0.5207499999999999
30,train,1.373430535475413,0.5861833333333333
30,valid,1.2969439494609833,0.58425
31,train,1.3124622044563294,0.5997166666666667
31,valid,1.6350273621082305,0.5623333333333332
32,train,1.3254340492884318,0.5913499999999999
32,valid,1.8105075085163116,0.49491666666666667
33,train,1.2988088879585267,0.5954
33,valid,1.637016517917315,0.5752499999999999
34,train,1.3499325710932413,0.5926333333333333
34,valid,1.3339197786649069,0.5819166666666666
35,train,1.3022774136861166,0.5958166666666667
35,valid,1.4376520176728567,0.5876666666666667
36,train,1.3257075146834056,0.5925166666666667
36,valid,1.944019198815028,0.4820833333333333
37,train,1.4170949068069458,0.5918166666666667
37,valid,1.6356029975414277,0.521
38,train,1.2550777787367502,0.6124666666666667
38,valid,1.6795808496077855,0.5631666666666666
39,train,1.2581631873448689,0.6121833333333333
39,valid,1.4475217652320862,0.5765833333333333
40,train,1.2651096256573995,0.6095666666666667
40,valid,1.4983829355239868,0.5774166666666667
41,train,1.2473938789367676,0.6176833333333334
41,valid,1.563163182735443,0.5732499999999999
42,train,1.269007887283961,0.60925
42,valid,1.534889220992724,0.5529166666666666
43,train,1.2303159869511922,0.6163166666666667
43,valid,1.6413111487030982,0.5470833333333334
44,train,1.185331090847651,0.6344333333333333
44,valid,1.8038772974411648,0.49566666666666664
45,train,1.2517985685666402,0.6221
45,valid,1.8111400363842647,0.5633333333333334
46,train,1.2262606153488158,0.6255166666666666
46,valid,1.9620925215880076,0.5271666666666667
47,train,1.2381390507221222,0.6236833333333334
47,valid,1.5711159805456798,0.5581666666666666
48,train,1.235889233748118,0.6219333333333333
48,valid,2.0175702806810536,0.5189166666666667
49,train,1.2599942156473796,0.6184666666666667
49,valid,1.6754643460114798,0.5814166666666667
50,train,1.2302508130073548,0.6228333333333333
50,valid,1.7778642636537552,0.49324999999999997
51,train,1.2396240338484446,0.6196166666666666
51,valid,2.0915685508648556,0.47725000000000006
52,train,1.2959879570007324,0.6164666666666667
52,valid,1.335068966547648,0.5791666666666667
53,train,1.1635491027832032,0.6385166666666666
53,valid,1.6555614900588989,0.5751666666666667
54,train,1.149935020605723,0.6383
54,valid,1.6040434871117275,0.5314166666666668
55,train,1.147338597536087,0.6421833333333333
55,valid,1.6343797218799592,0.5673333333333332
56,train,1.152653822739919,0.6422166666666667
56,valid,1.527313924630483,0.58475
57,train,1.1021661605040232,0.6528
57,valid,1.4807602643966675,0.5739166666666667
58,train,1.158107320547104,0.6414333333333333
58,valid,1.4953597873449325,0.59075
59,train,1.1518011203606924,0.6474
59,valid,1.8954933067162831,0.5273333333333333
60,train,1.2284074128468832,0.6301
60,valid,1.5943450524409613,0.5751666666666667
61,train,1.13459068441391,0.6487666666666666
61,valid,1.643322505156199,0.57375
62,train,1.1164479916890462,0.6548499999999999
62,valid,1.5212347686290741,0.5670833333333334
63,train,1.1638530762195587,0.64705
63,valid,1.7915956795215606,0.5281666666666667
64,train,1.053898289601008,0.6639
64,valid,1.4934246087074279,0.5860000000000001
65,train,1.1407319827874502,0.6460666666666667
65,valid,1.9667725718021394,0.5365833333333333
66,train,1.1994461196760338,0.6375833333333333
66,valid,1.4593517231941222,0.5938333333333333
67,train,1.0640512102444966,0.65775
67,valid,1.8145047616958618,0.48975
68,train,1.2085715470314027,0.6337166666666667
68,valid,1.4238819827636082,0.60125
69,train,1.092586490392685,0.6609833333333334
69,valid,1.658961242834727,0.5345833333333333
70,train,1.09224719953537,0.6579499999999999
70,valid,1.2597928643226624,0.6173333333333333
71,train,1.2149403506120047,0.6454
71,valid,1.641627380847931,0.5450833333333334
72,train,1.0931444753011068,0.6639
72,valid,1.642406084338824,0.5435
73,train,1.0642041719704867,0.6704166666666667
73,valid,1.4951142619053523,0.6188333333333333
74,train,1.0483014549414318,0.6728333333333333
74,valid,1.7481041741371155,0.5288333333333334
75,train,1.0481238808631896,0.6749333333333333
75,valid,1.5511079573631286,0.5885833333333333
76,train,1.0421384376684824,0.6711166666666666
76,valid,1.6575861407319705,0.5785833333333333
77,train,1.141792076587677,0.6562166666666667
77,valid,1.9912430600325266,0.5752499999999999
78,train,1.1301014142036439,0.6555166666666666
78,valid,1.4955861747264863,0.5931666666666666
79,train,1.1260262578725815,0.66235
79,valid,1.5375772829850514,0.5984166666666667
80,train,1.0426976668834687,0.6757666666666666
80,valid,1.5692097767194113,0.5581666666666666
81,train,1.099687791665395,0.65735
81,valid,1.9499872434139252,0.5438333333333334
82,train,1.1145157461166382,0.66415
82,valid,1.3825603433450062,0.5900833333333334
83,train,1.032960972547531,0.6789833333333334
83,valid,1.5552322987715403,0.5909166666666666
84,train,1.0824217582543691,0.6677333333333334
84,valid,1.4497590108712515,0.5923333333333333
85,train,1.0149669790267943,0.6830666666666666
85,valid,1.3523489769299826,0.6113333333333334
86,train,1.0512891481717428,0.6670333333333333
86,valid,1.4046528736750286,0.6074166666666666
87,train,1.0614704545338949,0.6691333333333334
87,valid,1.6428738232453663,0.5885833333333333
88,train,1.0763410042921702,0.6682666666666667
88,valid,2.254499772489071,0.4794166666666666
89,train,1.1201386212507884,0.6658166666666667
89,valid,1.659703487555186,0.5388333333333334
90,train,1.0354951953887939,0.6781333333333334
90,valid,1.540433014035225,0.5905833333333333
91,train,1.0189855039914448,0.67905
91,valid,1.7337818082173666,0.5351666666666667
92,train,1.0005967547098795,0.6862333333333333
92,valid,1.6044851064682006,0.5650833333333334
93,train,1.0124327297210693,0.6883666666666667
93,valid,1.6321108762423198,0.5674166666666667
94,train,1.0107625606854758,0.6825666666666667
94,valid,1.7042798831065495,0.5980833333333334
95,train,1.049426325996717,0.6783333333333333
95,valid,1.8214034450054168,0.5450833333333334
96,train,1.0077104455629984,0.6903999999999999
96,valid,1.5632614686091741,0.6020833333333333
97,train,1.0147081939379374,0.6839
97,valid,2.159830642739932,0.5000833333333333
98,train,1.0531040952205657,0.6757333333333333
98,valid,1.3778023354212443,0.606
99,train,1.0140993633270263,0.6915833333333333
99,valid,1.6232793974876403,0.5761666666666666
100,train,0.9846075309117636,0.6928500000000001
100,valid,1.4628208450476328,0.5965833333333334
101,train,0.9709266034762064,0.6963166666666666
101,valid,1.6672106834252676,0.5496666666666666
102,train,1.0243093449274698,0.6885833333333333
102,valid,1.6654165214300156,0.6
103,train,1.0188452460765838,0.6846000000000001
103,valid,1.532479664683342,0.59175
104,train,0.9701707451343536,0.6983833333333334
104,valid,1.9304591941833495,0.53125
105,train,0.9554935552279155,0.6990833333333333
105,valid,1.312655778725942,0.61175
106,train,0.9410127787788709,0.70625
106,valid,1.5898335456848145,0.5741666666666667
107,train,0.9480042260487874,0.6998
107,valid,1.7812165242433549,0.587
108,train,0.9658567425409953,0.6946833333333334
108,valid,1.6210779710610708,0.5715
109,train,0.9660637180010477,0.6993333333333334
109,valid,1.8367312238613764,0.5640833333333333
