epoch,set,loss,acc
1,train,1.738380337715149,0.41731666666666667
1,valid,1.8724733448028565,0.40199999999999997
2,train,1.4758004687627158,0.48405000000000004
2,valid,1.4949339763323466,0.4950833333333334
3,train,1.3844296328226726,0.5125
3,valid,1.6965530872344972,0.42883333333333334
4,train,1.3400817282994588,0.5280166666666667
4,valid,1.3789052589734396,0.522
5,train,1.295926434357961,0.5423166666666667
5,valid,1.2726482685407003,0.5430833333333334
6,train,1.2249528985818228,0.5709166666666666
6,valid,1.2751127084096272,0.5530833333333334
7,train,1.2102150179545084,0.5710999999999999
7,valid,1.2236681326230368,0.5590833333333333
8,train,1.1777384525934855,0.5781
8,valid,1.601876596212387,0.5631666666666666
9,train,1.1629121152559916,0.5896333333333333
9,valid,2.6147084188461305,0.4959166666666667
10,train,1.1342845973968505,0.5974333333333334
10,valid,1.421682456334432,0.5720833333333334
11,train,1.1143555768330893,0.6044
11,valid,1.30968589981397,0.5435
12,train,1.1221273571650188,0.6048166666666667
12,valid,1.2380700260400772,0.5870833333333333
13,train,1.0690967769622803,0.6249333333333333
13,valid,1.1792820715904235,0.59775
14,train,1.0724815436999002,0.61885
14,valid,1.2459073889255523,0.5782499999999999
15,train,1.057500686645508,0.62835
15,valid,1.1522593438625335,0.6004166666666667
16,train,1.022790476957957,0.63635
16,valid,1.2338496518135071,0.5908333333333333
17,train,1.0178192507425945,0.6455666666666667
17,valid,2.8518504496415455,0.5923333333333333
18,train,1.0121987171173095,0.6467666666666666
18,valid,6.9975872155030565,0.5883333333333334
19,train,0.9625443120002747,0.6620333333333333
19,valid,1.116274740298589,0.61075
20,train,1.0106605444749197,0.6442333333333333
20,valid,1.150707678794861,0.6036666666666667
21,train,0.9364270006815593,0.6723
21,valid,1.0907973194122313,0.62825
22,train,0.9005635075569153,0.68115
22,valid,1.2923849173386892,0.5875833333333333
23,train,0.8872967290878296,0.6896333333333333
23,valid,1.207728813091914,0.5925833333333334
24,train,0.8689113257726033,0.6926333333333333
24,valid,1.0558698546886445,0.6248333333333332
25,train,0.8675922914346059,0.68965
25,valid,1.1956844882170359,0.6066666666666667
26,train,0.84085746717453,0.7027333333333333
26,valid,1.1780242466926574,0.5998333333333333
27,train,0.8386719284852345,0.7048833333333334
27,valid,1.3167465122540791,0.58625
28,train,0.8079890921115875,0.7157666666666668
28,valid,1.191076476573944,0.61
29,train,0.8093789716561636,0.7142833333333333
29,valid,1.3461245274543763,0.5933333333333334
30,train,0.8803451410929362,0.6884833333333332
30,valid,1.0259653985500337,0.6560833333333332
31,train,0.7830500100453694,0.7279833333333333
31,valid,1.0998304929335911,0.6427499999999999
32,train,0.7402753748099009,0.7423166666666666
32,valid,1.3375020603338876,0.5973333333333333
33,train,0.7466152747472127,0.7343500000000001
33,valid,1.0543871740500133,0.6555
34,train,0.7100808256864548,0.7448
34,valid,1.156550942460696,0.6186666666666667
35,train,0.7227697771390279,0.7429833333333332
35,valid,1.2553723700841268,0.6116666666666667
36,train,1.0896493350664775,0.6240166666666667
36,valid,1.0479369755585988,0.63975
37,train,0.8378642307122548,0.7016166666666667
37,valid,1.038620219628016,0.6515
38,train,0.7581688055197398,0.7323999999999999
38,valid,1.1343402024110159,0.623
39,train,0.7201314984957378,0.7432166666666667
39,valid,1.1873738400141398,0.6156666666666666
40,train,0.8430363447666168,0.70735
40,valid,1.1651964298884074,0.6276666666666667
41,train,0.7028079860210419,0.7548166666666666
41,valid,1.1203520254294077,0.6356666666666666
42,train,0.6726907206376393,0.7614
42,valid,1.2941019650300343,0.5873333333333333
43,train,0.6520611625512441,0.7680166666666667
43,valid,1.4411434878905613,0.6604166666666667
44,train,0.6533732000986735,0.7686499999999999
44,valid,1.4041271303097407,0.617
45,train,0.60519735511144,0.7859833333333333
45,valid,1.120706374247869,0.6555833333333334
46,train,0.6272325065930684,0.7746333333333334
46,valid,1.4509551779429117,0.5879166666666666
47,train,0.5984513353904088,0.7850166666666667
47,valid,1.9159113931655884,0.635
48,train,0.6063873172601064,0.78405
48,valid,1.1841641875108082,0.6276666666666667
49,train,0.6405934780836106,0.7691
49,valid,1.3363236637910207,0.63825
50,train,0.5709456548293431,0.79465
50,valid,1.1626683137814204,0.6379166666666667
51,train,0.5512216658592224,0.8044333333333334
51,valid,1.2890861666202544,0.6221666666666666
